294;;0,27;;;;;;;;;#¡DIV/0!;19,8;105,4;;;;;;274,2;26,2;0,5;;
Peso;Clasificación;GDM;Notas sobre el animal;IDV;IDE;LID;Raza;Sexo;Ubicación;Fecha Ingreso;GDM total;GPV;GPV total;Días;Total de días;PF;Fecha final PR;Fecha final ISE;Peso ant.;GPV ant.;GDM ant,;Fecha;Hora
335;-3 (Alto);0,42;;PO150A680;9,82E+14;;;Macho;;22/7/2017;0.38;30;113;72;300;168;;;305;12;0,23;4/2/2018;16:23:52
335;-3 (Alto);0,72;;GH738B388;9,82E+14;;;Macho;;23/7/2017;0.43;52;125;72;290;168;;;283;11;0,21;4/2/2018;17:53:05
335;-3 (Alto);0,19;;IA671B292;9,82E+14;;;Macho;;24/7/2017;0.35;14;101;73;291;168;;;321;8;0,15;5/2/2018;17:39:54
335;-3 (Alto);0,07;;SZ208H818;9,82E+14;;;Macho;;24/7/2017;0.53;5;161;73;302;168;;;330;45;0,87;5/2/2018;18:12:06
334;-3 (Alto);0,43;;PO150A874;9,82E+14;;;Macho;;22/7/2017;0.24;31;72;72;299;167;;;303;13;0,25;4/2/2018;11:28:44
334;-3 (Alto);0,5;;GT542A700;9,82E+14;;;Macho;;22/7/2017;0.54;36;164;72;301;167;;;298;41;0,82;4/2/2018;16:31:00
334;-3 (Alto);0;;IA671B208;9,82E+14;;;Macho;;22/7/2017;0.35;0;104;73;293;167;;;334;19;0,37;5/2/2018;17:21:11
333;-3 (Alto);0,22;;SZ208H894;9,82E+14;;;Macho;;24/7/2017;0.46;14;137;63;301;166;;;319;18;0,3;4/2/2018;10:41:19
333;-3 (Alto);0,38;;PO150A684;9,82E+14;;;Macho;;22/7/2017;0.43;27;129;72;300;166;;;306;23;0,44;4/2/2018;11:17:42
333;-3 (Alto);0,29;;SZ208H768;9,82E+14;;;Macho;;22/7/2017;0.53;21;161;72;301;166;;;312;51;0,98;4/2/2018;11:22:27
333;-3 (Alto);0,19;;PO150A583;9,82E+14;;;Macho;;23/7/2017;0.34;14;101;73;301;166;;;319;15;0,29;5/2/2018;16:26:35
333;-3 (Alto);0,1;;NS509H094;9,82E+14;;;Macho;;22/7/2017;0.29;7;87;73;300;166;;;326;18;0,35;5/2/2018;18:00:15
332;-3 (Alto);0,19;;MM429A720;9,82E+14;;;Macho;;24/7/2017;0.45;14;132;72;292;166;;;318;35;0,67;4/2/2018;10:19:53
332;-3 (Alto);0,18;;OE528B772;9,82E+14;;;Macho;;20/7/2017;0.43;13;126;72;292;166;;;319;24;0,46;4/2/2018;10:21:44
332;-3 (Alto);0,08;;OQ152A405;9,82E+14;;;Macho;;22/7/2017;0.4;6;120;72;301;166;;;326;24;0,46;4/2/2018;10:36:11
332;-3 (Alto);0,71;;QX678K985;9,82E+14;;;Macho;;22/7/2017;0.51;52;152;73;298;166;;;280;14;0,29;4/2/2018;11:30:53
332;-3 (Alto);0,43;;SZ208H846;9,82E+14;;;Macho;;22/7/2017;0.54;31;164;72;301;166;;;301;38;0,76;4/2/2018;16:23:00
332;-3 (Alto);0,14;;PO150A689;9,82E+14;;;Macho;;23/7/2017;0.35;10;106;72;300;166;;;322;14;0,27;4/2/2018;17:42:26
332;-3 (Alto);0,25;;SZ208H888;9,82E+14;;;Macho;;22/7/2017;0.45;18;136;72;301;166;;;314;33;0,63;4/2/2018;18:12:22
332;-3 (Alto);0,36;;IA671B267;9,82E+14;;;Macho;;24/7/2017;0.41;26;118;73;291;166;;;306;18;0,35;5/2/2018;08:13:09
332;-3 (Alto);-0,3;;PO150A817;9,82E+14;;;Macho;;22/7/2017;0.33;-22;98;73;300;166;;;354;39;0,75;5/2/2018;16:50:48
331;-3 (Alto);0,29;;NO133A019;9,82E+14;;;Macho;;24/7/2017;0.26;21;77;72;301;166;;;310;3;0,06;4/2/2018;10:48:49
331;-3 (Alto);0,39;;PO150A443;9,82E+14;;;Macho;;22/7/2017;0.3;28;89;72;300;166;;;303;21;0,4;4/2/2018;11:39:54
331;-3 (Alto);0,62;;PO150A506;9,82E+14;;;Macho;;20/7/2017;0.47;45;141;72;300;166;;;286;23;0,46;4/2/2018;16:06:52
331;-3 (Alto);0,25;;TM420B803;9,82E+14;;;Macho;;21/7/2017;0.5;18;151;72;305;166;;;313;46;0,92;4/2/2018;16:51:20
331;-3 (Alto);0,4;;GH738B350;9,82E+14;;;Macho;;22/7/2017;0.45;29;131;72;290;166;;;302;24;0,46;4/2/2018;17:26:10
331;-3 (Alto);0,74;;GH738B391;9,82E+14;;;Macho;;23/7/2017;0.44;54;127;73;290;166;;;277;34;0,69;4/2/2018;18:24:21
331;-3 (Alto);0,22;;QX678K932;9,82E+14;;;Macho;;22/7/2017;0.48;16;143;73;299;166;;;315;44;0,88;5/2/2018;07:46:59
331;-3 (Alto);-0,01;;IW751A017;9,82E+14;;;Macho;;24/7/2017;0.36;-1;109;73;306;166;;;332;44;0,85;5/2/2018;08:14:37
331;-3 (Alto);0,48;;MM429A900;9,82E+14;;;Macho;;24/7/2017;0.45;35;133;73;293;166;;;296;36;0,69;5/2/2018;08:18:53
331;-3 (Alto);0,37;;SZ208H854;9,82E+14;;;Macho;;23/7/2017;0.49;27;147;73;302;166;;;304;41;0,82;5/2/2018;09:25:58
331;-3 (Alto);0,3;;PO150A767;9,82E+14;;;Macho;;22/7/2017;0.19;22;57;73;300;166;;;309;28;0,54;5/2/2018;16:56:40
331;-3 (Alto);0,1;;LH837F537;9,82E+14;;;Macho;;24/7/2017;0.42;7;129;73;304;166;;;324;35;0,67;5/2/2018;18:11:36
330;-3 (Alto);0,18;;PO150A682;9,82E+14;;;Macho;;23/7/2017;0.31;13;94;72;300;165;;;317;-3;-0,06;4/2/2018;10:07:32
330;-3 (Alto);0,36;;SZ208I031;9,82E+14;;;Macho;;23/7/2017;0.51;26;154;72;301;165;;;304;30;0,58;4/2/2018;10:31:10
330;-3 (Alto);0,56;;AR042B049;9,82E+14;;;Macho;;21/7/2017;0.52;40;158;72;303;165;;;290;37;0,74;4/2/2018;10:37:23
330;-3 (Alto);0,4;;NS509H028;9,82E+14;;;Macho;;22/7/2017;0.34;29;102;72;299;165;;;301;12;0,23;4/2/2018;16:55:28
330;-3 (Alto);0,33;;QX678K983;9,82E+14;;;Macho;;24/7/2017;0.38;24;114;72;298;165;;;306;15;0,29;4/2/2018;17:55:48
330;-3 (Alto);0,05;;LH837F526;9,82E+14;;;Macho;;20/7/2017;0.4;4;122;73;306;165;;;326;43;0,83;5/2/2018;08:39:37
330;-3 (Alto);-0,01;;NS509H047;9,82E+14;;;Macho;;22/7/2017;0.36;-1;108;73;300;165;;;331;18;0,35;5/2/2018;16:40:33
330;-3 (Alto);0,45;;MM429A929;9,82E+14;;;Macho;;26/7/2017;0.55;33;160;74;293;165;;;297;51;1,04;5/2/2018;17:27:21
329;-3 (Alto);0,07;;SZ208I008;9,82E+14;;;Macho;;24/7/2017;0.48;5;145;72;301;164;;;324;42;0,81;4/2/2018;10:29:50
329;-3 (Alto);0,4;;SZ208H836;9,82E+14;;;Macho;;24/7/2017;0.51;29;155;72;301;164;;;300;35;0,67;4/2/2018;10:35:34
329;-3 (Alto);0,25;;AG680G820;9,82E+14;;;Macho;;24/7/2017;0.45;18;137;72;303;164;;;311;17;0,33;4/2/2018;10:38:53
329;-3 (Alto);0,53;;PO150A572;9,82E+14;;;Macho;;22/7/2017;0.3;38;89;72;300;164;;;291;1;0,02;4/2/2018;10:47:07
329;-3 (Alto);0,39;;OQ152A429;9,82E+14;;;Macho;;24/7/2017;0.42;28;127;72;301;164;;;301;16;0,31;4/2/2018;11:48:46
329;-3 (Alto);0,43;;GN685B253;9,82E+14;;;Macho;;24/7/2017;0.49;31;147;72;303;164;;;298;26;0,5;4/2/2018;16:19:49
329;-3 (Alto);0,21;;NS509G965;9,82E+14;;;Macho;;23/7/2017;0.32;15;97;72;299;164;;;314;12;0,23;4/2/2018;16:41:06
329;-3 (Alto);0,4;;PO150A484;9,82E+14;;;Macho;;23/7/2017;0.36;29;107;72;300;164;;;300;28;0,54;4/2/2018;18:05:42
329;-3 (Alto);0,15;;PO150A431;9,82E+14;;;Macho;;22/7/2017;0.35;11;105;73;301;164;;;318;27;0,52;5/2/2018;08:41:33
329;-3 (Alto);0;;MM429A715;9,82E+14;;;Macho;;22/7/2017;0.34;0;101;73;293;164;;;329;20;0,38;5/2/2018;17:39:31
328;-3 (Alto);0,51;;OH874D866;9,82E+14;;;Macho;;22/7/2017;0.43;37;126;72;292;164;;;291;47;0,9;4/2/2018;09:58:10
328;-3 (Alto);;;;;;;;;;;;;;;164;;;;;;4/2/2018;10:12:13
328;-3 (Alto);0,17;;PO150A674;9,82E+14;;;Macho;;22/7/2017;0.24;12;72;72;300;164;;;316;17;0,33;4/2/2018;16:38:05
328;-3 (Alto);0,19;;IA671B352;9,82E+14;;;Macho;;24/7/2017;0.37;14;106;72;290;164;;;314;23;0,44;4/2/2018;16:43:38
328;-3 (Alto);0,17;;PO150A529;9,82E+14;;;Macho;;22/7/2017;0.36;12;108;72;300;164;;;316;29;0,56;4/2/2018;17:10:57
328;-3 (Alto);0,12;;FL991I011;9,82E+14;;;Macho;;24/7/2017;0.36;9;108;72;303;164;;;319;15;0,29;4/2/2018;17:21:21
328;-3 (Alto);0,44;;PO150A639;9,82E+14;;;Macho;;22/7/2017;0.34;32;102;73;299;164;;;296;25;0,49;4/2/2018;18:21:33
328;-3 (Alto);0,26;;II641B929;9,82E+14;;;Macho;;24/7/2017;0.47;19;142;73;304;164;;;309;31;0,6;5/2/2018;07:55:05
328;-3 (Alto);0,15;;PO150A462;9,82E+14;;;Macho;;22/7/2017;0.3;11;90;73;301;164;;;317;18;0,35;5/2/2018;08:19:57
328;-3 (Alto);0,41;;OH874D848;9,82E+14;;;Macho;;24/7/2017;0.45;30;132;73;293;164;;;298;25;0,48;5/2/2018;08:49:22
328;-3 (Alto);0,15;;OQ152A464;9,82E+14;;;Macho;;24/7/2017;0.34;11;104;73;302;164;;;317;26;0,5;5/2/2018;17:10:17
327;-3 (Alto);0,22;;NO133A048;9,82E+14;;;Macho;;24/7/2017;0.24;16;71;72;301;164;;;311;3;0,06;4/2/2018;09:59:51
327;-3 (Alto);0,46;;MM429A714;9,82E+14;;;Macho;;24/7/2017;0.48;33;141;72;292;164;;;294;36;0,72;4/2/2018;10:12:32
327;-3 (Alto);0,25;;PO150A794;9,82E+14;;;Macho;;22/7/2017;0.38;18;115;72;299;164;;;309;23;0,44;4/2/2018;10:34:29
327;-3 (Alto);0,01;;PO150A440;9,82E+14;;;Macho;;22/7/2017;0.3;1;91;72;300;164;;;326;4;0,08;4/2/2018;16:39:07
327;-3 (Alto);0,31;;IA671B297;9,82E+14;;;Macho;;24/7/2017;0.39;22;113;72;292;164;;;305;14;0,27;4/2/2018;17:43:37
327;-3 (Alto);0,33;;PO150A562;9,82E+14;;;Macho;;22/7/2017;0.35;24;105;73;301;164;;;303;9;0,17;5/2/2018;08:50:41
327;-3 (Alto);0,26;;SZ208H760;9,82E+14;;;Macho;;24/7/2017;0.47;19;143;73;302;164;;;308;20;0,38;5/2/2018;17:25:13
326;-3 (Alto);0,22;;NS509H087;9,82E+14;;;Macho;;22/7/2017;0.29;16;88;72;299;163;;;310;32;0,62;4/2/2018;11:49:17
326;-3 (Alto);0,18;;GH738B331;9,82E+14;;;Macho;;24/7/2017;0.41;13;118;72;290;163;;;313;25;0,48;4/2/2018;16:03:34
326;-3 (Alto);0,21;;IA671B288;9,82E+14;;;Macho;;24/7/2017;0.38;15;112;72;292;163;;;311;27;0,52;4/2/2018;16:24:22
326;-3 (Alto);0,38;;OH874D871;9,82E+14;;;Macho;;21/7/2017;0.45;28;130;73;292;163;;;298;25;0,51;4/2/2018;16:46:34
326;-3 (Alto);0,41;;PO150A802;9,82E+14;;;Macho;;22/7/2017;0.37;30;110;73;300;163;;;296;27;0,52;5/2/2018;08:01:22
326;-3 (Alto);0,25;;SZ208H870;9,82E+14;;;Macho;;24/7/2017;0.48;18;146;73;302;163;;;308;41;0,79;5/2/2018;08:21:49
326;-3 (Alto);0,34;;GN685D263;9,82E+14;;;Macho;;22/7/2017;0.47;25;142;73;304;163;;;301;14;0,27;5/2/2018;17:34:09
325;-3 (Alto);0,24;;PO150A586;9,82E+14;;;Macho;;21/7/2017;0.38;17;115;72;300;162;;;308;37;0,71;4/2/2018;16:30:32
325;-3 (Alto);0,43;;PO150A753;9,82E+14;;;Macho;;22/7/2017;0.36;31;107;72;299;162;;;294;28;0,54;4/2/2018;17:32:42
325;-3 (Alto);0,43;;PO150A690;9,82E+14;;;Macho;;23/7/2017;0.38;31;113;72;300;162;;;294;20;0,38;4/2/2018;17:39:25
325;-3 (Alto);0,64;;SZ208H851;9,82E+14;;;Macho;;24/7/2017;0.52;47;157;74;302;162;;;278;31;0,63;5/2/2018;08:38:15
325;-3 (Alto);-0,1;;NO133A038;9,82E+14;;;Macho;;23/7/2017;0.26;-7;79;73;302;162;;;332;12;0,23;5/2/2018;16:23:25
325;-3 (Alto);-0,05;;IA671B085;9,82E+14;;;Macho;;22/7/2017;0.37;-4;109;73;291;162;;;329;27;0,52;5/2/2018;17:32:00
325;-3 (Alto);0,12;;PO150A498;9,82E+14;;;Macho;;23/7/2017;0.37;9;111;73;301;162;;;316;41;0,79;5/2/2018;17:44:24
325;-3 (Alto);0,11;;IA671B113;9,82E+14;;;Macho;;23/7/2017;0.3;8;87;73;291;162;;;317;27;0,52;5/2/2018;17:57:10
324;-3 (Alto);0,24;;SZ208I002;9,82E+14;;;Macho;;24/7/2017;0.46;17;138;72;301;162;;;307;24;0,46;4/2/2018;11:16:59
324;-3 (Alto);0,22;;SZ208H762;9,82E+14;;;Macho;;6/6/2017;0.49;16;146;72;301;162;;;308;32;0,62;4/2/2018;16:46:51
324;-3 (Alto);0,14;;PO150A798;9,82E+14;;;Macho;;23/7/2017;0.4;10;120;72;299;162;;;314;40;0,77;4/2/2018;17:53:55
324;-3 (Alto);0,24;;PO150A452;9,82E+14;;;Macho;;22/7/2017;0.33;17;100;72;300;162;;;307;12;0,23;4/2/2018;18:07:12
324;-3 (Alto);0,15;;PO150A503;9,82E+14;;;Macho;;22/7/2017;0.28;11;84;73;301;162;;;313;27;0,52;5/2/2018;07:51:18
324;-3 (Alto);0,36;;IA671B268;9,82E+14;;;Macho;;24/7/2017;0.37;26;108;73;291;162;;;298;20;0,38;5/2/2018;08:49:04
324;-3 (Alto);-0,01;;PO150A685;9,82E+14;;;Macho;;22/7/2017;0.3;-1;90;73;301;162;;;325;29;0,56;5/2/2018;09:18:08
